vgain,channel,closest_offset_to_2000,mean_at_closest_offset,abs_error_to_2000,source_scan,at_zero_offset,at_upper_offset_edge
500,4,2150,970.558434,1029.441566,raw_scan,0,0
500,5,2150,33.516822,1966.483178,raw_scan,0,0
500,6,2200,3003.778577,1003.778577,raw_scan,0,0
500,7,2200,1677.054666,322.945334,raw_scan,0,0
500,12,2150,227.470020,1772.529980,raw_scan,0,0
500,13,2200,2973.837525,973.837525,raw_scan,0,0
500,14,2150,979.544667,1020.455333,raw_scan,0,0
500,15,2150,17.549046,1982.450954,raw_scan,0,0
500,18,2150,49.451907,1950.548093,raw_scan,0,0
500,19,2150,1689.508714,310.491286,raw_scan,0,0
500,21,2150,473.895249,1526.104751,raw_scan,0,0
750,4,2150,2562.059658,562.059658,raw_scan,0,0
750,5,2150,1079.691605,920.308395,raw_scan,0,0
750,6,2150,279.234276,1720.765724,raw_scan,0,0
750,7,2200,3141.957958,1141.957958,raw_scan,0,0
750,12,2150,1783.105158,216.894842,raw_scan,0,0
750,13,2150,156.354298,1843.645702,raw_scan,0,0
750,14,2150,2438.024538,438.024538,raw_scan,0,0
750,15,2150,1230.290501,769.709499,raw_scan,0,0
750,18,2150,1511.167764,488.832236,raw_scan,0,0
750,19,2150,2939.383287,939.383287,raw_scan,0,0
750,21,2150,2062.301461,62.301461,raw_scan,0,0
1000,4,2100,1740.246428,259.753572,raw_scan,0,0
1000,5,2150,3277.602812,1277.602812,raw_scan,0,0
1000,6,2150,2710.229874,710.229874,raw_scan,0,0
1000,7,2150,2094.163634,94.163634,raw_scan,0,0
1000,12,2100,1235.288037,764.711963,raw_scan,0,0
1000,13,2150,2564.346790,564.346790,raw_scan,0,0
1000,14,2100,1660.391231,339.608769,raw_scan,0,0
1000,15,2100,879.137956,1120.862044,raw_scan,0,0
1000,18,2100,973.718456,1026.281544,raw_scan,0,0
1000,19,2100,1903.083952,96.916048,raw_scan,0,0
1000,21,2100,1411.805230,588.194770,raw_scan,0,0
1250,4,2050,1651.063995,348.936005,raw_scan,0,0
1250,5,2100,2637.706340,637.706340,raw_scan,0,0
1250,6,2100,2266.529285,266.529285,raw_scan,0,0
1250,7,2100,1827.670335,172.329665,raw_scan,0,0
1250,12,2050,1214.993081,785.006919,raw_scan,0,0
1250,13,2100,2158.522974,158.522974,raw_scan,0,0
1250,14,2050,1505.582768,494.417232,raw_scan,0,0
1250,15,2100,2860.671638,860.671638,raw_scan,0,0
1250,18,2100,2910.616491,910.616491,raw_scan,0,0
1250,19,2050,1703.803706,296.196294,raw_scan,0,0
1250,21,2050,1398.339840,601.660160,raw_scan,0,0
1500,4,2000,2622.002698,622.002698,raw_scan,0,0
1500,5,2000,1958.287635,41.712365,raw_scan,0,0
1500,6,2000,1675.145426,324.854574,raw_scan,0,0
1500,7,2000,1452.184401,547.815599,raw_scan,0,0
1500,12,2000,2250.181088,250.181088,raw_scan,0,0
1500,13,2000,1579.126679,420.873321,raw_scan,0,0
1500,14,2000,2412.643546,412.643546,raw_scan,0,0
1500,15,2000,2116.125848,116.125848,raw_scan,0,0
1500,18,2000,2137.546505,137.546505,raw_scan,0,0
1500,19,2000,2524.917192,524.917192,raw_scan,0,0
1500,21,2000,2356.458257,356.458257,raw_scan,0,0
1750,4,1800,1291.172882,708.827118,dark_low_offsets,0,0
1750,5,1900,2380.179092,380.179092,dark_low_offsets,0,0
1750,6,1900,2195.554184,195.554184,dark_low_offsets,0,0
1750,7,1900,2086.812630,86.812630,dark_low_offsets,0,0
1750,12,1900,2519.244141,519.244141,dark_low_offsets,0,0
1750,13,1900,2140.072418,140.072418,dark_low_offsets,0,0
1750,14,1900,2700.424080,700.424080,dark_low_offsets,0,0
1750,15,1900,2527.556602,527.556602,dark_low_offsets,0,0
1750,18,1900,2540.455223,540.455223,dark_low_offsets,0,0
1750,19,1900,2785.633072,785.633072,dark_low_offsets,0,0
1750,21,1900,2729.170662,729.170662,dark_low_offsets,0,0
2000,4,1700,2172.057800,172.057800,dark_low_offsets,0,0
2000,5,1700,1741.806023,258.193977,dark_low_offsets,0,0
2000,6,1700,1599.490486,400.509514,dark_low_offsets,0,0
2000,7,1700,1608.270691,391.729309,dark_low_offsets,0,0
2000,12,1700,1935.742844,64.257156,dark_low_offsets,0,0
2000,13,1700,1566.461212,433.538788,dark_low_offsets,0,0
2000,14,1700,2034.571579,34.571579,dark_low_offsets,0,0
2000,15,1700,1919.729752,80.270248,dark_low_offsets,0,0
2000,18,1700,1920.547966,79.452034,dark_low_offsets,0,0
2000,19,1700,2064.755241,64.755241,dark_low_offsets,0,0
2000,21,1700,2055.902061,55.902061,dark_low_offsets,0,0
2250,4,1400,2034.670776,34.670776,dark_low_offsets,0,0
2250,5,1400,1661.744781,338.255219,dark_low_offsets,0,0
2250,6,1500,2337.062759,337.062759,dark_low_offsets,0,0
2250,7,1400,1636.409805,363.590195,dark_low_offsets,0,0
2250,12,1400,1921.192284,78.807716,dark_low_offsets,0,0
2250,13,1500,2337.901772,337.901772,dark_low_offsets,0,0
2250,14,1400,1985.736267,14.263733,dark_low_offsets,0,0
2250,15,1400,1944.436523,55.563477,dark_low_offsets,0,0
2250,18,1400,1913.974411,86.025589,dark_low_offsets,0,0
2250,19,1400,1980.192825,19.807175,dark_low_offsets,0,0
2250,21,1400,2018.414223,18.414223,dark_low_offsets,0,0
2500,4,1000,1795.509392,204.490608,dark_low_offsets,0,0
2500,5,1100,1963.234734,36.765266,dark_low_offsets,0,0
2500,6,1100,1947.360703,52.639297,dark_low_offsets,0,0
2500,7,1100,2004.108139,4.108139,dark_low_offsets,0,0
2500,12,1100,2172.166733,172.166733,dark_low_offsets,0,0
2500,13,1100,1981.401863,18.598137,dark_low_offsets,0,0
2500,14,1100,2235.966019,235.966019,dark_low_offsets,0,0
2500,15,1100,2239.396294,239.396294,dark_low_offsets,0,0
2500,18,1000,1842.727242,157.272758,dark_low_offsets,0,0
2500,19,1000,1855.795967,144.204033,dark_low_offsets,0,0
2500,21,1000,1933.439026,66.560974,dark_low_offsets,0,0
2750,4,0,3105.653275,1105.653275,dark_low_offsets,1,0
2750,5,0,2845.083694,845.083694,dark_low_offsets,1,0
2750,6,0,2827.639168,827.639168,dark_low_offsets,1,0
2750,7,0,2882.758751,882.758751,dark_low_offsets,1,0
2750,12,0,3079.135117,1079.135117,dark_low_offsets,1,0
2750,13,0,2937.953918,937.953918,dark_low_offsets,1,0
2750,14,0,2997.241318,997.241318,dark_low_offsets,1,0
2750,15,0,3066.069870,1066.069870,dark_low_offsets,1,0
2750,18,0,2984.125702,984.125702,dark_low_offsets,1,0
2750,19,0,2966.450127,966.450127,dark_low_offsets,1,0
2750,21,0,3057.019310,1057.019310,dark_low_offsets,1,0
3000,4,200,4214.952942,2214.952942,dark_low_offsets,0,0
3000,5,300,3954.302582,1954.302582,dark_low_offsets,0,0
3000,6,300,3937.700241,1937.700241,dark_low_offsets,0,0
3000,7,200,4004.291855,2004.291855,dark_low_offsets,0,0
3000,12,200,4130.783539,2130.783539,dark_low_offsets,0,0
3000,13,200,3989.161301,1989.161301,dark_low_offsets,0,0
3000,14,200,4059.775719,2059.775719,dark_low_offsets,0,0
3000,15,200,4137.117699,2137.117699,dark_low_offsets,0,0
3000,18,200,4040.837585,2040.837585,dark_low_offsets,0,0
3000,19,200,3992.928764,1992.928764,dark_low_offsets,0,0
3000,21,200,4087.451172,2087.451172,dark_low_offsets,0,0
